cluster,number_of_accidents,average_accident_time,most_common_day
242,2,2020-07-16 00:00:00+00:00,SAT
243,11,2022-04-17 20:40:21.818181888+00:00,THU
244,27,2021-12-27 09:25:06.666666752+00:00,WED
245,6,2022-01-23 11:14:20+00:00,SUN
246,8,2021-05-11 00:00:00+00:00,THU
247,26,2022-03-03 14:03:04.615384576+00:00,TUE
248,39,2021-09-22 08:25:00+00:00,TUE
249,13,2021-10-13 04:18:13.846153984+00:00,MON
250,17,2021-11-28 01:21:42.352941312+00:00,SAT
251,13,2021-11-02 14:46:09.230769152+00:00,FRI
252,1,2020-10-23 00:00:00+00:00,FRI
253,1,2020-10-30 00:00:00+00:00,FRI
254,5,2022-08-16 04:48:00+00:00,THU
255,2,2021-08-08 12:00:00+00:00,SAT
256,4,2021-09-03 06:00:00+00:00,SUN
257,81,2021-10-16 07:28:31.851851776+00:00,THU
258,3,2021-07-10 06:40:00+00:00,FRI
259,2,2020-12-09 12:00:00+00:00,FRI
260,3,2021-05-20 00:00:00+00:00,SAT
261,1,2020-11-10 00:00:00+00:00,TUE
262,40,2021-05-16 19:58:52.500000+00:00,FRI
263,11,2020-11-29 19:29:17.181818112+00:00,TUE
264,8,2021-03-13 07:22:30+00:00,WED
265,12,2021-03-20 05:12:10+00:00,TUE
266,2,2021-05-13 12:00:00+00:00,THU
267,2,2021-02-13 12:00:00+00:00,WED
268,9,2022-06-02 01:26:00+00:00,TUE
269,1,2020-11-16 00:00:00+00:00,MON
270,41,2021-12-26 23:14:17.560975616+00:00,MON
271,25,2022-01-06 13:33:09.600000+00:00,THU
272,19,2022-02-23 23:12:53.684210688+00:00,MON
273,3,2021-11-08 08:00:00+00:00,FRI
274,1,2020-11-25 00:00:00+00:00,WED
275,13,2022-02-01 08:03:50.769230848+00:00,SUN
276,25,2021-08-30 11:15:28.800000+00:00,WED
277,15,2022-06-16 16:00:00+00:00,SAT
278,30,2021-12-29 07:43:46+00:00,FRI
279,1,2020-11-29 00:00:00+00:00,SUN
280,37,2021-04-30 18:17:56.756756736+00:00,TUE
281,2,2021-06-18 05:45:00+00:00,MON
282,3,2021-10-17 00:00:00+00:00,MON
283,3,2021-07-08 08:00:00+00:00,THU
284,1,2020-12-08 17:34:00+00:00,TUE
285,1,2020-12-09 00:00:00+00:00,WED
286,4,2020-10-29 17:58:30+00:00,THU
287,9,2022-03-17 04:15:40+00:00,SAT
288,2,2022-03-14 00:00:00+00:00,WED
289,1,2020-12-14 00:00:00+00:00,MON
290,1,2020-12-15 00:00:00+00:00,TUE
291,7,2022-04-20 06:51:25.714285824+00:00,MON
292,8,2022-03-10 21:00:00+00:00,THU
293,20,2021-08-05 22:44:45+00:00,MON
294,6,2020-12-12 16:00:00+00:00,MON
295,49,2021-10-16 02:45:39.183673600+00:00,TUE
296,1,2020-12-20 00:00:00+00:00,SUN
297,2,2021-06-13 00:00:00+00:00,TUE
298,68,2022-01-16 03:13:20.294117632+00:00,FRI
299,4,2021-07-24 18:00:00+00:00,THU
300,2,2021-03-02 00:00:00+00:00,SAT
301,1,2021-01-01 00:00:00+00:00,FRI
302,1,2021-01-02 00:00:00+00:00,SAT
303,5,2021-12-30 09:36:00+00:00,TUE
304,40,2022-03-19 16:58:36+00:00,FRI
305,1,2021-01-09 00:00:00+00:00,SAT
306,3,2021-10-08 08:00:00+00:00,SAT
307,2,2021-01-15 00:00:00+00:00,FRI
308,13,2021-10-17 02:32:04.615384832+00:00,FRI
309,1,2021-01-19 00:00:00+00:00,TUE
310,9,2022-03-26 06:16:40+00:00,MON
311,1,2021-01-11 00:00:00+00:00,MON
312,1,2021-01-23 00:00:00+00:00,SAT
313,1,2021-01-30 00:00:00+00:00,SAT
314,32,2022-03-25 07:21:11.249999872+00:00,SAT
315,17,2021-09-06 22:42:49.411764736+00:00,FRI
316,16,2021-11-24 07:27:22.500000+00:00,MON
317,2,2021-04-16 22:42:30+00:00,FRI
318,1,2021-02-02 00:00:00+00:00,TUE
319,5,2021-07-30 16:51:36+00:00,FRI
320,6,2021-05-23 10:42:30+00:00,MON
321,2,2021-06-13 00:00:00+00:00,TUE
322,1,2021-01-30 00:00:00+00:00,SAT
323,137,2021-08-07 19:19:45.109488896+00:00,WED
324,44,2022-03-19 06:59:04.090908928+00:00,TUE
325,1,2021-02-10 00:00:00+00:00,WED
326,1,2021-02-20 00:00:00+00:00,SAT
327,6,2022-01-22 00:00:00+00:00,FRI
328,4,2021-02-07 00:00:00+00:00,TUE
329,5,2022-08-12 09:36:00+00:00,WED
330,13,2022-01-30 19:00:41.538461696+00:00,THU
331,1,2021-02-24 00:00:00+00:00,WED
332,3,2020-10-04 00:00:00+00:00,THU
333,2,2021-11-18 10:30:00+00:00,MON
334,4,2021-11-13 00:00:00+00:00,SUN
335,20,2021-06-23 04:48:00+00:00,THU
336,3,2021-03-29 16:00:00+00:00,FRI
